id,provider,date,title,duration_minutes,services_affected,impact_symptoms,root_cause_l1,root_cause_l2,human_error,mitigation_actions,url,summary
aws-2,AWS,2011-04-29,Summary of the Amazon EC2 and Amazon RDS Service Disruption in the US East Region,1768,EC2 instances; EBS cluster; EBS control plane; Amazon RDS,availability; performance,internal causes; internal causes; external causes,software bugs; software bugs; insufficient resource,False,disable all control APIs; rollback traffic shift; disable new requests; disable communication; increase server capacity; build out a separate instance of the EBS control plane; process backlog; manual restore,https://aws.amazon.com/cn/message/65648/,"The issues affecting EC2 customers last week primarily involved a subset of the Amazon Elastic Block Store (“EBS”) volumes in a single Availability Zone within the US East Region that became unable to service read and write operations. In this document, we will refer to these as “stuck” volumes. This caused instances trying to use these affected volumes to also get “stuck” when they attempted to read or write to them. In order to restore these volumes and stabilize the EBS cluster in that Availa"
aws-1,AWS,2011-06-04,Summary of the AWS Service Event in the Sydney Region,575,diesel rotary uninterruptable power supply; EC2 instances; EBS volumes; instance management software; utility provider; storage server,availability; performance,internal causes; external causes,software bugs; hardware failures,False,restore power; recover instances manually; recover storage server manually; remove degraded service manually; fix bug,https://aws.amazon.com/cn/message/4372T8/,We’d like to share more detail about the AWS service disruption that occurred this past weekend in the AWS Sydney Region.  The service disruption primarily affected EC2 instances and their associated Elastic Block Store (“EBS”) volumes running in a single Availability Zone.
aws-3,AWS,2012-06-29,Summary of the AWS Service Event in the US East Region,1440,EC2 instances; EBS volumes; RDS instances; ELB instances; control plane; utility electrical switches; utility power,availability; performance,external causes; internal causes; internal causes,hardware failures; software bugs; software bugs,False,restore power; restart system; perform traffic shifts; restore database with backups; manual backups,https://aws.amazon.com/cn/message/67457/,"The event was triggered during a large scale electrical storm which swept through the Northern Virginia area. Our US East-1 Region consists of more than 10 datacenters structured into multiple Availability Zones. These Availability Zones are in distinct physical locations and are engineered to isolate failure from each other. Last Friday, due to weather warnings of the approaching storm, all change activity in the US East-1 Region had been cancelled and extra personnel had been called into the d"
aws-10,AWS,2012-10-22,"Summary of the October 22,2012 AWS Service Event in the US-East Region",375,EBS volumes; EC2 instances; RDS; ELB,performance; availability,internal causes; external causes; internal causes,software bugs; hardware failures; software bugs,False,reduce failover rate; remove load; restore performance; free memory; fix bug; change DNS configuration; reduce the level of throttling,https://blog.csdn.net/hertz2007/article/details/8142645,"We’d like to share more about the service event that occurred on Monday, October 22nd in the US- East Region. We have now completed the analysis of the events that affected AWS customers, and we want to describe what happened, our understanding of how customers were affected, and what we are doing to prevent a similar issue from occurring in the future. (The Primary Event and the Impact to Amazon Elastic Block Store (EBS) and Amazon Elastic Compute Cloud (EC2)) At 10:00AM PDT Monday, a small num"
aws-4,AWS,2012-12-24,"Summary of the December 24, 2012 Amazon ELB Service Event in the US-East Region",1421,ELB load balancers,availability; performance; scalability,internal causes; external causes,software bugs; component removal,True,disable workflow; restore data; re-enable workflow,https://aws.amazon.com/cn/message/680587/,"While the service disruption only affected applications using the ELB service (and only a fraction of the ELB load balancers were affected), the impacted load balancers saw significant impact for a prolonged period of time."
aws-11,AWS,2013-12-17,Summary of the December 17th event in the South America Region (SA-EAST-1),20,utility power; backup generator; EC2 instances,availability; performance,external causes; external causes; internal causes,hardware failures; hardware failures; software bugs,True,manually bring the generators online; remove faulty component; restore power; restore network,https://aws.amazon.com/cn/message/656481/,"We want to give you some additional insight into the event that impacted a single Availability Zone in the South America Region (SA-EAST-1). On December 17th at 10:05PM PST, the impacted Availability Zone lost utility power due to a fault that happened at the substation of the local utility provider. The impacted Availability Zone automatically switched over to run on generator power when utility power was lost. Availability Zones are built with multiple layers of redundancy, and are designed to"
aws-12,AWS,2014-06-13,Summary of the Amazon SimpleDB Service Disruption,254,Simple DB; data center,availability; performance,internal causes; external causes,software bugs; hardware failures,False,manually increase the handshake timeout values; restart metadata node,https://aws.amazon.com/cn/message/65649/,"We wanted to share what we've learned from our investigation of the June 13 SimpleDB disruption in the US East Region. The service was unavailable to all API calls (except a fraction of the eventually consistent read calls) from 9:16 PM to 11:16 PM (PDT). From 11:16 PM to 1:30 AM, we continued to have elevated error rates for CreateDomain and DeleteDomain API calls."
aws-7,AWS,2014-08-07,Summary of the Amazon EC2 and Amazon RDS Service Disruption in the US East Region,4904,EC2 instances; EBS volumes; RDS instances; electricity supply,availability,external causes; external causes; internal causes,hardware failures; hardware failures; software bugs,True,restore power; restore data; add capacity; fix bug,https://aws.amazon.com/cn/message/2329B7/,"An unknown event caused a transformer to fail. One of the PLCs that checks that generator power is in phase failed for an unknown reason, which prevented a set of backup generators from coming online. This affected EC2, EBS, and RDS in EU West."
gcdc-15005,Google,2015-07-27,Google Developers Console Incident #15005,41,Google Developer Cloud Console,availability,internal causes; external causes,software bugs; component removal,True,disengage mechanism,https://status.cloud.google.com/incident/developers-console/15005,"On Monday, 27 July 2015, the Google Developers Console was unavailable to all users for a duration of 41 minutes. We apologize for the inconvenience and any impact on your operations that this may have caused. We are urgently working to implement preventative measures to ensure similar incidents do not occur in the future."
google-GCE-#15055,Google,2015-08-04,Google Compute Engine Incident #15055,8,Google Compute Engine; network load balancers; Google Cloud VPNs; external IP addresses of GCE instances,availability,internal causes; internal causes,software bugs; software bugs,False,roll back the software deployment,https://status.cloud.google.com/incident/compute/15055.pdf,"On Tuesday 4 August 2015, incoming network traffic to Google Compute Engine (GCE) was interrupted for 5 minutes."
